Received by learning locker;;;;;;;;Send by external device;;;;;;;;;
Date;Hour;Min;Sec.Miliseconds(Formated);Seconds;Miliseconds;;;Hour:Min:sec:ms;Hours;Min;Sec;Miliseconds;;;;;Miliseconds difference
10/12/2021;13;6;05.509Z;5;509;;;14:6:5:364;14;6;5;364;;;;;145
10/12/2021;13;6;05.392Z;5;392;;;14:6:5:247;14;6;5;247;;;;;145
10/12/2021;13;6;05.276Z;5;276;;;14:6:5:130;14;6;5;130;;;;;146
10/12/2021;13;6;05.158Z;5;158;;;14:6:5:17;14;6;5;17;;;;;141
10/12/2021;13;6;05.048Z;5;48;;;14:6:4:904;14;6;4;904;;;;;144
10/12/2021;13;6;04.934Z;4;934;;;14:6:4:791;14;6;4;791;;;;;143
10/12/2021;13;6;04.818Z;4;818;;;14:6:4:677;14;6;4;677;;;;;141
10/12/2021;13;6;04.708Z;4;708;;;14:6:4:564;14;6;4;564;;;;;144
10/12/2021;13;6;04.589Z;4;589;;;14:6:4:445;14;6;4;445;;;;;144
10/12/2021;13;6;04.473Z;4;473;;;14:6:4:328;14;6;4;328;;;;;145
10/12/2021;13;6;04.355Z;4;355;;;14:6:4:208;14;6;4;208;;;;;147
10/12/2021;13;6;04.236Z;4;236;;;14:6:4:97;14;6;4;97;;;;;139
10/12/2021;13;6;04.128Z;4;128;;;14:6:3:992;14;6;3;992;;;;;136
10/12/2021;13;6;04.023Z;4;23;;;14:6:3:792;14;6;3;792;;;;;231
10/12/2021;13;6;03.816Z;3;816;;;14:6:3:676;14;6;3;676;;;;;140
